The city indexes use local prices for portland cement and 2 X 4 lumber and the national average price for structural steel. The city's BCI uses local union wages, plus fringes, for carpenters, bricklayers and iron workers. The city's CCI uses the same union wages for laborers.
YEAR MONTH BCI %CHG CCI %CHG
2022 January 9007.82 +15.4 14301.24 +9.2
2021 December 8934.82 +13.5 14228.24 +8.0
2021 November 9127.62 +15.9 14421.03 +9.5
2021 October 9158.49 +16.3% 14451.91 +9.8%
2021 September 8290.40 +7.5 13583.81 +4.4
2021 August 8524.32 +11.8 13817.73 +6.9
2021 July 8468.17 +11.2 13762.01 +6.6
2021 June 8165.26 +5.6 13459.10 +3.4
2021 May 8131.51 +8.1 13425.35 +4.7
2021 April 7863.57 +4.5 13157.41 +2.7
2021 March 7843.32 +4.3 13137.16 +2.5
2021 Feb 7816.32 +4.0 13110.16 +2.4
2021 Jan 7804.07 +3.9 13097.91 +2.3
2020 Dec 7874.92 +5.3 13168.76 +3.2
2020 Nov 7877.92 6.0% 13171.76 3.5%
2020 Oct 7874.17 +7.3 13168.01 +5.1
2020 Sept 7711.82 +6.0 13005.66 +5.2
2020 Aug 7626.76 +4.8 12920.60 +4.5
2020 July 7614.09 +4.9 12907.92 +4.5
2020 June 7728.87 +6.4 13022.70 +5.4
2020 May 7525.33 +3.9 12819.17 +3.9
2020 April 7522.83 +5.7 12816.67 +4.9
2020 March 7516.83 +8.1 12810.67 +6.3
2020 Feb 7513.83 +6.8 12807.67 +5.6
2020 Jan 7512.33 +7.0 12806.17 +5.7
2019 Dec 7479.68 +6.5 12764.52 +5.4
2019 Nov 7429.65 +5.9 12723.43 +5.1
2019 Oct 7341.15 +4.7 12524.93 +3.4
2019 Sept 7271.94 +3.7 12365.71 +2.2
2019 Aug 7274.44 +4.2 12368.21 +2.4
2019 July 7260.69 +4.2 12354.46 +2.5
2019 June 7260.69 +4.9 12354.46 +2.8
2019 May 7239.64 +4.6 12333.48 +2.7
2019 April 7228.39 +4.4 12322.23 +2.6
2019 Mar 6954.89 +0.5 12048.19 +0.3
2019 Feb 7038.07 +1.7 12131.37 +1.0
2019 Jan 7021.57 +1.4 12114.87 +0.8
2018 Dec 7022.07 +1.5 12115.37 +0.8
2018 Nov 7016.57 +1.4 12109.87 +0.8
2018 Oct 7014.08 +1.3 12107.38 +0.8
2018 Sept 7010.58 +0.9 12103.88 +0.6
2018 Aug 6981.42 +0.5 12074.72 +0.3
2018 July 6966.67 +2.5 12050.97 +2.8
2018 June 6921.42 +1.9 12014.72 +2.5
2018 May 6921.42 +2.4 12014.72 +2.8
2018 Apr 6921.42 +2.3 12014.72 +2.7
2018 Mar 6921.42 +3.6 12014.72 +3.5
2018 Feb 6921.42 +3.6 12014.72 +3.5
2018 Jan 6921.42 +3.6 12014.72 +3.5
2017 Dec 6921.42 +3.6 12014.72 +3.5
2017 Nov 6921.42 +4.1 12014.72 +3.8
2017 Oct 6921.42 +4.1 12014.72 +3.8
2017 Sept 6945.92 +4.5 12037.27 +4.0
2017 Aug 6943.98 +4.8 12037.27 +4.2
2017 Jul 6796.47 2.6 11725.52 1.5
2017 Jun 6793.10 +2.6 11722.15 +1.5
2017 May 6761.99 +2.1 11691.03 +1.2
2017 Apr 6767.41 +2.1 11696.47 +1.2
2017 Mar 6680.37 +0.8 11609.44 +0.5
2017 Feb 6680.37 +4.2 11609.44 +3.9
2017 Jan 6680.37 +4.6 11609.44 +4.1
2016 Dec 6680.37 +4.6 11609.44 +4.1
2016 Nov 6650.28 +4.2 11579.33 +3.8
2016 Oct 6649.28 +4.0 11578.33 +3.8
2016 Sep 6647.28 +3.9 11576.33 +3.7
2016 Aug 6625.60 +3.70 11554.65 +3.60
2016 Jul 6626.10 +3.70 11555.15 +3.60
2016 Jun 6619.35 +3.60 11548.40 +3.50
2016 May 6621.35 +3.40 11550.40 +3.40
2016 Apr 6630.10 +3.50 11559.15 +3.50
2016 Mar 6628.85 +3.50 11557.90 +3.50
2016 Feb 6408.87 –0.10 11174.79 0.00
2016 Jan 6387.49 –0.30 11153.41 –0.20
2015 Dec 6389.49 +2.30 11155.41 +2.20
2015 Nov 6390.46 +2.20 11154.06 +2.10
2015 Oct 6390.80 +2.40 11169.31 +2.40
2015 Sep 6395.22 +2.60 11158.82 +2.40
2015 Aug 6391.47 +2.60 11155.07 +2.40
2015 Jul 6391.47 0.00 11155.07 0.00
2015 Jun 6391.47 –0.22 11155.07 –0.13 
2015 May 6405.72 0.00 11169.32 0.00
2015 Apr 6398.97 +2.8 11162.57 +2.5
2015 Mar 6405.72 +2.9 11169.32 +2.6
2015 Feb 6414.1 3 11177.7 2.6
2015 Jan 6409.56 2.9 11173.16 2.5
2014 Dec 6248.05 3.1 10915.84 5
2014 Nov 6252.05 3.1 10919.84 5
2014 Oct 6240.05 3.1 10907.84 5
2014 Sep 6230.55 3 10898.34 4.9
2014 Aug 6229.80 3.0 10897.59 4.9
2014 Jul 6229.80 3.0 10897.59 4.9
2014 Jun 6231.80 3.1 10899.59 4.9
2014 May 6228.05 3.1 10895.84 4.9
2014 Apr 6227.05 3.3 10894.84 5.0
2014 Mar 6224.05 3.3 10891.84 5.1
2014 Feb 6226.80 3.3 10894.59 5.1
2014 Jan 6228.55 3.5 10896.34 5.2
2013 Dec 6231.05 3.6 10898.84 5.3
2013 Nov 6233.30 3.5 10901.09 5.2
2013 Oct 6241.30 3.6 10909.09 5.2
2013 Sep 6047.27 0.4 10389.59 0.2
2013 Aug 6046.02 0.4 10388.34 0.2
2013 Jul 6048.77 0.2 10391.09 0.1
2013 Jun 6046.52 0.1 10388.84 0.0
2013 May 6040.77 –0.1 10383.09 0.0 
2013 Apr 6031.02 0.0 10373.34 0.0
2013 Mar 6025.77 0.0 10368.09 0.0
2013 Feb 6026.77 1.3 10369.09 1.6
2013 Jan 6018.52 1.1 10360.84 1.5
2012 Dec 6012.77 1.1 10355.09 1.5
2012 Nov 6024.02 1.3 10366.34 1.6
2012 Oct 6025.02 1.4 10367.34 1.7
2012 Sep 6022.02 1.4 10364.34 1.7
2012 Aug 6024.21 1.5 10366.54 1.7
2012 Jul 6039.21 2.0 10381.54 2.0
2012 Jun 6043.21 2.2 10385.54 2.2
2012 May 6043.71 2.3 10386.04 2.2
2012 May 6043.71 2.3 10386.04 2.2
2012 Apr 6028.96 2.1 10371.29 2.1
2012 Mar 6027.21 2.2 10369.54 2.2
2012 Feb 5952.27 1.0 10207.79 0.6
2012 Feb 5952.27 1.0 10207.79 0.6
2012 Jan 5952.27 1.6 10207.79 0.9
2011 Dec 5949.27 1.4 10204.79 0.8
2011 Nov 5948.77 1.4 10204.29 0.8
2011 Oct 5943.77 1.4 10199.29 0.8
2011 Sep 5937.27 6.4 10192.79 3.1
2011 Aug 5936.02 6.0 10191.54 2.8
2011 Jul 5923.27 5.8 10178.79 2.7
2011 Jun 5911.77 5.7 10167.29 2.7
2011 May 5906.02 5.9 10161.54 2.8
2011 Apr 5905.02 7.9 10160.54 4.4
2011 Mar 5895.52 7.8 10151.04 4.4
2011 Feb 5892.52 7.9 10148.04 4.4
2011 Jan 5860.77 7.3 10116.29 4.1
2010 Dec 5864.77 7.3 10120.29 4.1
2010 Nov 5868.02 7.5 10123.54 4.2
2010 Oct 5859.52 7.3 10115.04 4.1
2010 Sep 5579.61 2.1 9888.54 1.7
2010 Aug 5600.74 2.5 9909.67 1.9
2010 Jul 5600.24 2.5 9909.17 1.9
2010 Jun 5593.74 2.1 9902.67 1.7
2010 May 5576.99 1.6 9885.92 1.4
2010 Apr 5471.56 -0.5 9730.17 -0.3
2010 Mar 5469.56 -0.5 9728.17 -0.3
2010 Feb 5463.56 -0.6 9722.17 -0.3
2010 Jan 5461.81 -0.9 9720.42 -0.5
2009 Dec 5463.56 -1.1 9722.17 -0.6
2009 Nov 5460.81 -2.1 9719.42 -1.2
2009 Oct 5460.56 -2.4 9719.17 -1.4
2009 Sep 5465.31 1.7 9723.92 4.1
2009 Aug 5466.06 2.7 9724.67 4.7
2009 Jul 5464.31 2.8 9722.92 4.7
2009 Jun 5477.06 4.4 9735.67 5.6
2009 May 5489.81 5.5 9748.42 6.3 
2009 Apr 5497.31 6.1 9755.92 6.6
2009 Mar 5499.06 6.2 9757.67 6.6
2009 Feb 5496.56 6.5 9755.17 6.8
2009 Jan 5510.81 6.8 9769.42 7
2008 Dec 5523.06 7.1 9781.67 7.1
2008 Nov 5576.06 8.1 9834.67 7.7
2008 Oct 5594.81 9.8 9853.42 8.5
2008 Sep 5372.35 5.4 9344.67 2.9
2008 Aug 5320.6 6.7 9292.92 2.4
2008 Jul 5313.85 6.6 9286.17 2.4
2008 Jun 5244.1 5.3 9216.42 1.7
2008 May 5202.1 3.4 9174.42 0.6
2008 Apr 5182.85 3.3 9155.17 0.6
2008 Mar 5177.85 3.2 9150.17 0.5
2008 Feb 5161.24 2.9 9133.56 0.4
2008 Jan 5161.24 2.9 9133.56 0.4
2007 Dec 5159.49 2.7 9131.81 0.3
2007 Nov 5156.99 2.3 9129.31 0.1
2007 Oct 5096.9 1.6 9079.42 -0.2
2007 Sep 5095.9 5.8 9078.42 7.2
2007 Aug 4988.64 3.8 9071.91 7.3
2007 Jul 4986.64 3.8 9069.91 7.2
2007 Jun 4980.14 4 9063.41 7.4
2007 May 5033.45 5 9116.72 8
2007 Apr 5019.45 4.7 9102.72 7.8
2007 Mar 5019.41 4.7 9102.68 7.8
2007 Feb 5016.91 4.5 9100.18 7.7
2007 Jan 5017.41 4.2 9100.68 7.5
2006 Dec 5025.39 4.5 9108.66 7.6
2006 Nov 5040.37 5.4 9123.64 8.2
2006 Oct 5015.62 5.5 9098.89 8.3
2006 Sep 4815.14 1.8 8466.48 1
2006 Aug 4812.89 5.7 8464.23 2.5
2006 Jul 4805.89 5.3 8457.23 2.3
2006 Jun 4789.39 4.7 8440.73 1.9
2006 May 4794.36 5.3 8445.69 2.2
2006 Apr 4796.11 5.3 8447.44 2.3
2006 Mar 4793.11 6 8444.44 2.6
2006 Feb 4799.11 6.1 8450.44 2.7
2006 Jan 4817.11 6.5 8468.45 2.9
2005 Dec 4811.11 6.4 8462.45 2.8
2005 Nov 4783.86 6.3 8435.2 2.8
2005 Oct 4752.26 5.9 8403.59 2.6
2005 Sep 4731.12 5.4 8382.45 2.3
2005 Aug 4552.32 4.7 8259.2 1.2
2005 Jul 4564.32 5.3 8271.2 1.5
2005 Jun 4575.43 5.6 8282.31 1.7
2005 May 4553.53 6 8260.41 1.9
2005 Apr 4553.51 6.7 8260.39 2.3
2005 Mar 4520.24 7 8227.12 2.4
2005 Feb 4522.24 8.2 8229.12 5.4
2005 Jan 4522.74 10 8229.62 5.7
2004 Dec 4521.51 9.9 8228.39 5.6
2003 Dec 4113.11 0.5 7788.8 1.9
2002 Dec 4093.21 1.7 7644.46 3.3
2001 Dec 4025.65 -0.5 7399.07 -0.7
2000 Dec 4044.2 3.7 7447.99 9.3
1999 Dec 3898.57 -0.7 6816.7 -0.4
1998 Dec 3927.46 3.1 6845.59 1.7
1997 Dec 3809.11 4.8 6731.08 1.5
1996 Dec 3634.25 2 6629.61 1.1
1995 Dec 3561.6 1.2 6558.16 0.4
1994 Dec 3519.17 2.7 6530.35 0.8
1993 Dec 3428.04 3.9 6477.95 2.9
1992 Dec 3298.09 3.2 6294.84 1.2
1991 Dec 3270.9 0.8 6222.06 2.8
1990 Dec 3245.04 4 6055.61 2.1
1989 Dec 3119.95 1.4 5932.57 3.5
1988 Dec 3076.27 1.1 5734.48 0
1987 Dec 3044.27 2.8 5732.37 4.1
1986 Dec 2961.47 5 5508.43 9
1985 Dec 2819.5 2.3 5055.04 0.1
1984 Dec 2756.35 -2.5 5049.13 -1.4
1983 Dec 2826.13 0.9 5122.74 2.6
1982 Dec 2799.96 9.4 4993.3 8.7 
1981 Dec 2558.49 6.8 4592.45 5
1980 Dec 2395.21 10.2 4371.96 14.9
1979 Dec 2172.96 12 3806.14 11.5
1978 Dec 1940.78 9.7 3412.2 8.3
