,assessor_neighborhood,closed_roll_year,home_size1,rent,rent/sf
0,Alamo Square,2007,1275.0,665007.7727028683,522.0
1,Alamo Square,2008,1281.0,705858.8631238351,551.0
2,Alamo Square,2009,1312.5,649526.5208605054,495.0
3,Alamo Square,2010,1334.1666666666665,606911.0277124973,455.0
4,Alamo Square,2011,1345.0,596159.6781954978,443.0
5,Alamo Square,2012,1349.1666666666665,558333.8741530011,414.0
6,Alamo Square,2013,1409.0,680714.4205208566,483.0
7,Alamo Square,2014,1446.3333333333333,795732.5616903362,550.0
8,Alamo Square,2015,1456.5,932335.6780966274,640.0
9,Alamo Square,2016,1500.0,1106565.502248334,738.0
10,Anza Vista,2007,1342.0,755661.7545768743,563.0
11,Anza Vista,2008,1342.0,804931.0445997774,600.0
12,Anza Vista,2009,1351.0,753198.6356806973,558.0
13,Anza Vista,2010,1376.0,693279.6686341306,504.0
14,Anza Vista,2011,1371.0,684029.1641811527,499.0
15,Anza Vista,2012,1371.0,652030.1191884562,476.0
16,Anza Vista,2013,1460.0,768601.4746849821,526.0
17,Anza Vista,2014,1460.0,890444.6041101521,610.0
18,Anza Vista,2015,1464.0,1005392.9361820122,687.0
19,Anza Vista,2016,1464.0,1177125.6839819597,804.0
20,Balboa Terrace,2007,2078.0,1542182.131714398,742.0
21,Balboa Terrace,2008,2082.0,1706797.8843694497,820.0
22,Balboa Terrace,2009,2114.0,1547044.4540673194,732.0
23,Balboa Terrace,2010,2114.0,1369601.947376092,648.0
24,Balboa Terrace,2011,2143.0,1338463.8870362295,625.0
25,Balboa Terrace,2012,2143.0,1232286.8042162606,575.0
26,Balboa Terrace,2013,2144.0,1411670.729196401,658.0
27,Balboa Terrace,2014,2144.0,1547325.08056882,722.0
28,Balboa Terrace,2015,2147.0,1702042.7510328938,793.0
29,Balboa Terrace,2016,2149.0,1836077.965820166,854.0
30,Bayview,2007,1297.0,651657.844414572,502.0
31,Bayview,2008,1300.0,632326.9033971569,486.0
32,Bayview,2009,1300.0,507883.93274857936,391.0
33,Bayview,2010,1300.0,402944.7478160788,310.0
34,Bayview,2011,1347.0,399162.8340643104,296.0
35,Bayview,2012,1375.0,347030.81091745273,252.0
36,Bayview,2013,1388.0,402843.1121264564,290.0
37,Bayview,2014,1394.0,513796.453616461,369.0
38,Bayview,2015,1394.0,618240.0267087639,444.0
39,Bayview,2016,1394.0,734814.8219929874,527.0
40,Bayview Heights,2007,1200.0,699062.0517295649,583.0
41,Bayview Heights,2008,1200.0,672041.1707687625,560.0
42,Bayview Heights,2009,1200.0,520837.1863266428,434.0
43,Bayview Heights,2010,1200.0,457416.6122828424,381.0
44,Bayview Heights,2011,1202.5,432316.0861836967,360.0
45,Bayview Heights,2012,1203.0,387269.3874872781,322.0
46,Bayview Heights,2013,1240.0,422333.6442283408,341.0
47,Bayview Heights,2014,1248.0,519899.9422683376,417.0
48,Bayview Heights,2015,1250.0,627508.6318145058,502.0
49,Bayview Heights,2016,1250.0,736536.7214521937,589.0
50,Bernal Heights,2007,1150.0,858435.1424851514,746.0
51,Bernal Heights,2008,1150.0,903285.7202768312,785.0
52,Bernal Heights,2009,1152.0,806395.1880297996,700.0
53,Bernal Heights,2010,1162.0,745039.1109141693,641.0
54,Bernal Heights,2011,1180.0,742993.7099145394,630.0
55,Bernal Heights,2012,1190.3333333333333,708725.252745099,595.0
56,Bernal Heights,2013,1200.0,827898.8000597813,690.0
57,Bernal Heights,2014,1200.0,966102.6940599348,805.0
58,Bernal Heights,2015,1211.5,1136462.1730468285,938.0
59,Bernal Heights,2016,1225.0,1355842.2270581585,1107.0
60,Buena Vista Park,2007,1327.0,1012748.1492702882,763.0
61,Buena Vista Park,2008,1350.0,1064312.131098499,788.0
62,Buena Vista Park,2009,1361.25,1010027.6088084698,742.0
63,Buena Vista Park,2010,1373.0,898113.1482124404,654.0
64,Buena Vista Park,2011,1393.75,894523.7551451492,642.0
65,Buena Vista Park,2012,1400.0,880698.2938455958,629.0
66,Buena Vista Park,2013,1410.0,1060559.9523302466,752.0
67,Buena Vista Park,2014,1455.0,1257246.1852219375,864.0
68,Buena Vista Park,2015,1470.0,1453136.4632409306,989.0
69,Buena Vista Park,2016,1500.0,1664445.2167956291,1110.0
70,Clarendon Heights,2007,2000.0,1031184.170531726,516.0
71,Clarendon Heights,2008,2001.0,1083548.6148173476,542.0
72,Clarendon Heights,2009,2000.5,1034251.9508396192,517.0
73,Clarendon Heights,2010,2005.5,889746.2567740254,444.0
74,Clarendon Heights,2011,2045.5,897524.8381911869,439.0
75,Clarendon Heights,2012,2053.0,878018.9997024122,428.0
76,Clarendon Heights,2013,2089.0,1039688.367843546,498.0
77,Clarendon Heights,2014,2100.0,1202454.1413084278,573.0
78,Clarendon Heights,2015,2100.0,1403484.3826833444,668.0
79,Clarendon Heights,2016,2101.0,1611027.6450419724,767.0
80,Corona Heights,2007,1139.0,996456.8138313666,875.0
81,Corona Heights,2008,1150.0,1039160.0770540668,904.0
82,Corona Heights,2009,1182.5,968250.645214322,819.0
83,Corona Heights,2010,1210.0,859085.0751317103,710.0
84,Corona Heights,2011,1231.0,844171.2957922933,686.0
85,Corona Heights,2012,1233.75,827474.6579150107,671.0
86,Corona Heights,2013,1270.0,983008.962362342,774.0
87,Corona Heights,2014,1286.5,1156544.7493570996,899.0
88,Corona Heights,2015,1300.0,1321809.7593056129,1017.0
89,Corona Heights,2016,1331.6666666666667,1512690.656020199,1136.0
90,Cow Hollow,2007,1375.0,1761912.3584777752,1281.0
91,Cow Hollow,2008,1400.0,1822729.8622186773,1302.0
92,Cow Hollow,2009,1408.5,1773995.350090226,1259.0
93,Cow Hollow,2010,1417.0,1523147.350781653,1075.0
94,Cow Hollow,2011,1460.0,1498381.2924281026,1026.0
95,Cow Hollow,2012,1466.6666666666667,1422017.120960608,970.0
96,Cow Hollow,2013,1483.0,1602286.673839206,1080.0
97,Cow Hollow,2014,1500.0,1868680.3927420129,1246.0
98,Cow Hollow,2015,1502.0,2247864.3750697603,1497.0
99,Cow Hollow,2016,1510.0,2533124.4340578094,1678.0
100,Croker Amazon,2007,1284.5,743117.2944625783,579.0
101,Croker Amazon,2008,1285.0,728403.2278354968,567.0
102,Croker Amazon,2009,1291.0,604185.6457084161,468.0
103,Croker Amazon,2010,1292.0,542634.2620094245,420.0
104,Croker Amazon,2011,1295.0,544719.5014683722,421.0
105,Croker Amazon,2012,1297.0,513280.1653771709,396.0
106,Croker Amazon,2013,1303.0,608680.757309955,467.0
107,Croker Amazon,2014,1310.0,711175.5308193578,543.0
108,Croker Amazon,2015,1316.0,789337.9545716963,600.0
109,Croker Amazon,2016,1318.0,902365.1388762596,685.0
110,Diamond Heights,2007,1175.0,580826.5869488464,494.0
111,Diamond Heights,2008,1200.0,594242.6357173633,495.0
112,Diamond Heights,2009,1200.0,557291.1657078359,464.0
113,Diamond Heights,2010,1210.0,507050.343340798,419.0
114,Diamond Heights,2011,1582.0,496129.66448811255,314.0
115,Diamond Heights,2012,1225.0,465100.69004026,380.0
116,Diamond Heights,2013,1225.0,564033.5728966993,460.0
117,Diamond Heights,2014,1251.0,643921.0717286284,515.0
118,Diamond Heights,2015,1260.0,750231.5826486301,595.0
119,Diamond Heights,2016,1273.0,871841.1796504225,685.0
120,Downtown,2007,695.0,,682.6351351351351
121,Downtown,2008,701.0833333333333,,693.1891891891892
122,Downtown,2009,705.0,,631.6486486486486
123,Downtown,2010,706.0,606009.676156973,858.0
124,Downtown,2011,713.41341991342,598313.973778858,839.0
125,Downtown,2012,713.3333333333334,565798.23961197,793.0
126,Downtown,2013,734.9629629629629,663249.198173765,902.0
127,Downtown,2014,738.875,776666.623723425,1051.0
128,Downtown,2015,745.9467863648191,847069.9049727976,1136.0
129,Downtown,2016,745.7460317460317,963303.5371345128,1292.0
130,Duboce Triangle,2007,1255.5,858692.7996121206,684.0
131,Duboce Triangle,2008,1266.25,920798.6099475236,727.0
132,Duboce Triangle,2009,1303.0,856304.6057440947,657.0
133,Duboce Triangle,2010,1318.5,800075.5152021836,607.0
134,Duboce Triangle,2011,1336.0,797586.0053701381,597.0
135,Duboce Triangle,2012,1337.3333333333333,775275.1702126777,580.0
136,Duboce Triangle,2013,1358.0,900916.157113618,663.0
137,Duboce Triangle,2014,1395.5,1073385.1252360044,769.0
138,Duboce Triangle,2015,1415.0,1241817.2810812627,878.0
139,Duboce Triangle,2016,1462.0,1451129.663964409,993.0
140,Eureka Valley/Dolores Heights,2007,1319.5,1079173.6395399424,818.0
141,Eureka Valley/Dolores Heights,2008,1325.0,1162495.4344073825,877.0
142,Eureka Valley/Dolores Heights,2009,1350.0,1113386.3890441563,825.0
143,Eureka Valley/Dolores Heights,2010,1358.0,947975.585999766,698.0
144,Eureka Valley/Dolores Heights,2011,1380.0,958409.8204629904,694.0
145,Eureka Valley/Dolores Heights,2012,1382.5,930976.3551860462,673.0
146,Eureka Valley/Dolores Heights,2013,1415.0,1115224.626863003,788.0
147,Eureka Valley/Dolores Heights,2014,1443.6,1294617.4191477385,897.0
148,Eureka Valley/Dolores Heights,2015,1462.0,1533696.1911310116,1049.0
149,Eureka Valley/Dolores Heights,2016,1485.0,1745188.1574579375,1175.0
150,Excelsior,2007,1194.0,765142.81367346,641.0
151,Excelsior,2008,1194.0,747542.1682183817,626.0
152,Excelsior,2009,1200.0,624846.3012033253,521.0
153,Excelsior,2010,1200.0,555294.0971102734,463.0
154,Excelsior,2011,1200.0,553403.294389381,461.0
155,Excelsior,2012,1200.0,510592.62501608353,425.0
156,Excelsior,2013,1206.0,592943.3231390585,492.0
157,Excelsior,2014,1215.0,695591.2725232259,573.0
158,Excelsior,2015,1220.0,770831.4483372375,632.0
159,Excelsior,2016,1222.0,889713.7457097638,728.0
160,Financial District,2007,1847.0,734760.1512349583,398.0
161,Financial District,2008,inf,740077.9022372776,0.0
162,Financial District,2009,inf,706224.8051941623,0.0
163,Financial District,2010,inf,570665.1795504919,0.0
164,Financial District,2011,inf,559336.1374243015,0.0
165,Financial District,2012,inf,516924.53682682494,0.0
166,Financial District,2013,inf,638724.516979169,0.0
167,Financial District,2014,inf,759612.771280652,0.0
168,Financial District,2015,inf,839610.1404087698,0.0
169,Financial District,2016,inf,925219.1263048016,0.0
170,Forest Hill,2007,1849.5,1441092.6595594808,779.0
171,Forest Hill,2008,1860.0,1566344.9252602377,842.0
172,Forest Hill,2009,1930.0,1412713.1005363527,732.0
173,Forest Hill,2010,1935.0,1205521.598091144,623.0
174,Forest Hill,2011,1951.0,1283292.7520457937,658.0
175,Forest Hill,2012,1975.0,1265611.060935289,641.0
176,Forest Hill,2013,2000.5,1416250.1426387236,708.0
177,Forest Hill,2014,2310.0,1618240.3059143166,701.0
178,Forest Hill,2015,2328.0,1800276.1694812689,773.0
179,Forest Hill,2016,2333.0,2067577.1030579389,886.0
180,Forest Hill Extension,2007,1667.0,1213049.663455811,728.0
181,Forest Hill Extension,2008,1674.5,1328467.822782044,793.0
182,Forest Hill Extension,2009,1683.0,1235690.0845342593,734.0
183,Forest Hill Extension,2010,1684.0,1042879.6192726558,619.0
184,Forest Hill Extension,2011,1695.0,1057580.438903672,624.0
185,Forest Hill Extension,2012,1695.0,1026830.4106817016,606.0
186,Forest Hill Extension,2013,1696.0,1156575.6757762588,682.0
187,Forest Hill Extension,2014,1717.5,1291047.4968611237,752.0
188,Forest Hill Extension,2015,1738.0,1406267.0342980598,809.0
189,Forest Hill Extension,2016,1740.0,1598357.628931272,919.0
190,Forest Knolls,2007,1408.0,1026913.3920937498,729.0
191,Forest Knolls,2008,1408.0,1066072.8100759424,757.0
192,Forest Knolls,2009,1408.0,992758.8681776222,705.0
193,Forest Knolls,2010,1408.0,872704.8618827333,620.0
194,Forest Knolls,2011,1411.0,878259.9493332248,622.0
195,Forest Knolls,2012,1415.0,851248.781563372,602.0
196,Forest Knolls,2013,1426.0,985760.2892654332,691.0
197,Forest Knolls,2014,1426.0,1102629.2379736565,773.0
198,Forest Knolls,2015,1426.0,1232325.886911328,864.0
199,Forest Knolls,2016,1433.0,1387577.401807617,968.0
200,Glen Park,2007,1232.5,1017119.3741768524,825.0
201,Glen Park,2008,1233.0,1066914.9680910355,865.0
202,Glen Park,2009,1246.0,968473.663099869,777.0
203,Glen Park,2010,1250.0,934050.943655482,747.0
204,Glen Park,2011,1250.0,931078.5556790308,745.0
205,Glen Park,2012,1270.0,866125.7049275702,682.0
206,Glen Park,2013,1295.0,1028148.885859448,794.0
207,Glen Park,2014,1303.0,1208389.949858567,927.0
208,Glen Park,2015,1317.0,1403310.731993872,1066.0
209,Glen Park,2016,1322.0,1633964.3767179658,1236.0
210,Golden Gate Heights,2007,1592.0,987330.1802938712,620.0
211,Golden Gate Heights,2008,1600.0,1028090.6716292874,643.0
212,Golden Gate Heights,2009,1608.0,951642.6178393746,592.0
213,Golden Gate Heights,2010,1620.0,850483.273792663,525.0
214,Golden Gate Heights,2011,1630.0,852158.6422519925,523.0
215,Golden Gate Heights,2012,1631.0,800362.0287917581,491.0
216,Golden Gate Heights,2013,1650.0,929242.8230998692,563.0
217,Golden Gate Heights,2014,1654.1666666666665,1059312.1547514277,640.0
218,Golden Gate Heights,2015,1668.5,1197540.8922558692,718.0
219,Golden Gate Heights,2016,1682.0,1396839.7278253569,830.0
220,Haight Ashbury,2007,1412.75,840949.922764658,595.0
221,Haight Ashbury,2008,1425.0,902083.8856445112,633.0
222,Haight Ashbury,2009,1430.0,860238.7612328675,602.0
223,Haight Ashbury,2010,1444.0,772668.566183064,535.0
224,Haight Ashbury,2011,1460.5,754634.3587749464,517.0
225,Haight Ashbury,2012,1465.0,732628.5890875502,500.0
226,Haight Ashbury,2013,1475.0,879590.4581043408,596.0
227,Haight Ashbury,2014,1479.5,1029881.6408483896,696.0
228,Haight Ashbury,2015,1495.0,1182386.1895913368,791.0
229,Haight Ashbury,2016,1500.0,1344038.38082856,896.0
230,Hayes Valley,2007,1166.0,693011.7753248275,594.0
231,Hayes Valley,2008,1186.2,745080.0195561256,628.0
232,Hayes Valley,2009,1194.75,684732.7178695422,573.0
233,Hayes Valley,2010,1200.0,625615.2376506146,521.0
234,Hayes Valley,2011,1201.0,613046.232412002,510.0
235,Hayes Valley,2012,1202.5,585727.0238667354,487.0
236,Hayes Valley,2013,1223.25,663246.6059861697,542.0
237,Hayes Valley,2014,1380.0,771024.5925098028,559.0
238,Hayes Valley,2015,1423.5,900377.5741967079,633.0
239,Hayes Valley,2016,1465.8333333333335,1092368.6330970873,745.0
240,Hunters Point,2007,1520.0,380349.1768377693,250.0
241,Hunters Point,2008,1520.0,400009.1597107822,263.0
242,Hunters Point,2009,1520.0,337898.38781088736,222.0
243,Hunters Point,2010,1683.5,266986.45300300006,159.0
244,Hunters Point,2011,1800.0,307069.1601992317,171.0
245,Hunters Point,2012,1824.5,346226.15404741,190.0
246,Hunters Point,2013,inf,385687.6899406882,0.0
247,Hunters Point,2014,inf,479069.6170908276,0.0
248,Hunters Point,2015,inf,560263.9396003328,0.0
249,Hunters Point,2016,inf,660701.272838097,0.0
250,Ingleside,2007,1150.0,715870.1552838316,622.0
251,Ingleside,2008,1150.0,707536.154639878,615.0
252,Ingleside,2009,1151.0,596967.7325080849,519.0
253,Ingleside,2010,1161.0,529142.4082705341,456.0
254,Ingleside,2011,1175.0,522950.9214210664,445.0
255,Ingleside,2012,1175.0,493825.3041977452,420.0
256,Ingleside,2013,1195.0,608833.2481973971,509.0
257,Ingleside,2014,1195.0,703327.9139444378,589.0
258,Ingleside,2015,1200.0,780539.5260791974,650.0
259,Ingleside,2016,1200.0,893030.1898144558,744.0
260,Ingleside Heights,2007,1200.0,639773.3035138188,533.0
261,Ingleside Heights,2008,1200.0,647432.6798694206,540.0
262,Ingleside Heights,2009,1203.0,542192.0522768326,451.0
263,Ingleside Heights,2010,1204.0,480961.3266820597,399.0
264,Ingleside Heights,2011,1105.0,477115.9087795205,432.0
265,Ingleside Heights,2012,1214.0,430055.839813363,354.0
266,Ingleside Heights,2013,1230.0,510179.8852284757,415.0
267,Ingleside Heights,2014,1240.0,600190.6907322615,484.0
268,Ingleside Heights,2015,1250.0,670398.0222216002,536.0
269,Ingleside Heights,2016,1255.0,754022.6322031859,601.0
270,Ingleside Terrace,2007,1911.5,1409048.3422782042,737.0
271,Ingleside Terrace,2008,1912.5,1470334.256331631,769.0
272,Ingleside Terrace,2009,1916.5,1325203.9416201853,691.0
273,Ingleside Terrace,2010,1942.0,1237543.2963754612,637.0
274,Ingleside Terrace,2011,1947.5,1127420.7627669454,579.0
275,Ingleside Terrace,2012,1947.5,1025164.705296633,526.0
276,Ingleside Terrace,2013,1981.0,1179854.5849044125,596.0
277,Ingleside Terrace,2014,2010.0,1303388.508043631,648.0
278,Ingleside Terrace,2015,2026.0,1461326.9382068245,721.0
279,Ingleside Terrace,2016,2040.0,1609233.9799888695,789.0
280,Inner Mission,2007,1200.0,656803.0314021917,547.0
281,Inner Mission,2008,1205.0,680593.7115648113,565.0
282,Inner Mission,2009,1212.0,622553.9056981482,514.0
283,Inner Mission,2010,1250.0,570161.5326713786,456.0
284,Inner Mission,2011,1250.0,573093.3191781509,458.0
285,Inner Mission,2012,1252.0,560800.4028115445,448.0
286,Inner Mission,2013,1271.0,674438.5511536914,531.0
287,Inner Mission,2014,1291.0,800928.4730448965,620.0
288,Inner Mission,2015,1333.0,959642.185223022,720.0
289,Inner Mission,2016,1341.25,1147273.4446342888,855.0
290,Inner Richmond,2007,1515.0,1053277.7082145228,695.0
291,Inner Richmond,2008,1525.0,1125388.8658136483,738.0
292,Inner Richmond,2009,1538.0,1064964.5504907945,692.0
293,Inner Richmond,2010,1540.0,951952.9098566785,618.0
294,Inner Richmond,2011,1550.0,931588.7374167484,601.0
295,Inner Richmond,2012,1550.0,903388.9878492424,583.0
296,Inner Richmond,2013,1567.5,1070859.5618275225,683.0
297,Inner Richmond,2014,1574.0,1237345.3482238315,786.0
298,Inner Richmond,2015,1575.5,1420232.6358549567,901.0
299,Inner Richmond,2016,1580.0,1670800.6888513633,1057.0
300,Inner Sunset,2007,1475.0,854048.6596163851,579.0
301,Inner Sunset,2008,1478.0,909853.2145990464,616.0
302,Inner Sunset,2009,1490.0,828652.2896815544,556.0
303,Inner Sunset,2010,1494.0,761512.9634094699,510.0
304,Inner Sunset,2011,1500.0,760071.929062631,507.0
305,Inner Sunset,2012,1500.0,739270.3209790088,493.0
306,Inner Sunset,2013,1500.0,864996.8061233899,577.0
307,Inner Sunset,2014,1506.75,989741.225264484,657.0
308,Inner Sunset,2015,1520.0,1148818.6092616804,756.0
309,Inner Sunset,2016,1525.0,1377852.3417174153,904.0
310,Jordan Park/Laurel Heights,2007,1696.0,1284303.0518215448,757.0
311,Jordan Park/Laurel Heights,2008,1722.0,1368126.4009359323,794.0
312,Jordan Park/Laurel Heights,2009,1825.0,1276146.352112822,699.0
313,Jordan Park/Laurel Heights,2010,1825.0,1196730.421769665,656.0
314,Jordan Park/Laurel Heights,2011,1845.0,1150320.7563487606,623.0
315,Jordan Park/Laurel Heights,2012,1853.0,1125310.0713230132,607.0
316,Jordan Park/Laurel Heights,2013,1905.0,1355529.7124837164,712.0
317,Jordan Park/Laurel Heights,2014,1938.0,1571363.569556611,811.0
318,Jordan Park/Laurel Heights,2015,1944.0,1814919.097799668,934.0
319,Jordan Park/Laurel Heights,2016,1947.0,2103937.672045853,1081.0
320,Lake --The Presidio,2007,1650.0,,682.6351351351351
321,Lake --The Presidio,2008,1674.5,,693.1891891891892
322,Lake --The Presidio,2009,1688.5,,631.6486486486486
323,Lake --The Presidio,2010,1690.0,,559.0131578947369
324,Lake --The Presidio,2011,1692.5,,544.9166666666666
325,Lake --The Presidio,2012,1695.0,,517.9078947368421
326,Lake --The Presidio,2013,1725.0,361773.7631643101,210.0
327,Lake --The Presidio,2014,1740.0,558412.4720232505,321.0
328,Lake --The Presidio,2015,1750.0,707782.1901715273,404.0
329,Lake --The Presidio,2016,1750.0,928674.795703379,531.0
330,Lake Shore,2007,1552.0,984497.386645324,634.0
331,Lake Shore,2008,1552.0,989631.3585190828,638.0
332,Lake Shore,2009,1555.0,929017.633066873,597.0
333,Lake Shore,2010,1563.5,889079.9697539016,569.0
334,Lake Shore,2012,1584.0,767186.1285730625,484.0
335,Lake Shore,2013,1605.0,880003.3837564219,548.0
336,Lake Shore,2014,1608.0,991610.6255269909,617.0
337,Lake Shore,2015,1613.0,1108387.3109502418,687.0
338,Lake Shore,2016,1631.5,1235788.4975225085,757.0
339,Lakeside,2007,1829.5,1463542.5099897103,800.0
340,Lakeside,2008,1832.0,1517395.6005749302,828.0
341,Lakeside,2009,1832.0,1499415.9845175222,818.0
342,Lakeside,2010,1834.0,1355237.8555387475,739.0
343,Lakeside,2012,1840.0,1220086.0818410255,663.0
344,Lakeside,2013,1850.0,1472829.5098915035,796.0
345,Lakeside,2014,1856.0,1666318.4130597997,898.0
346,Lakeside,2015,1865.0,1880571.8026610613,1008.0
347,Lakeside,2016,1874.0,2124697.486309868,1134.0
348,Lone Mountain,2007,1525.0,1039134.1987147754,681.0
349,Lone Mountain,2008,1537.0,1081010.8314438765,703.0
350,Lone Mountain,2009,1550.0,1037505.7541828082,669.0
351,Lone Mountain,2010,1568.3333333333335,923006.877624332,589.0
352,Lone Mountain,2011,1575.0,904639.6082081548,574.0
353,Lone Mountain,2012,1575.0,890857.3417612511,566.0
354,Lone Mountain,2013,1579.0,1037841.1233945644,657.0
355,Lone Mountain,2014,1579.5,1201329.1146243208,761.0
356,Lone Mountain,2015,1583.0,1386238.4014484985,876.0
357,Lone Mountain,2016,1597.5,1627706.6563397974,1019.0
358,Lower Pacific Heights,2007,1084.0,872442.704780293,805.0
359,Lower Pacific Heights,2008,1097.3333333333333,910939.1291675356,830.0
360,Lower Pacific Heights,2009,1107.0833333333335,859423.7842787992,776.0
361,Lower Pacific Heights,2010,1117.875,788091.006795782,705.0
362,Lower Pacific Heights,2011,1120.0,777773.5251901974,694.0
363,Lower Pacific Heights,2012,1120.0,739078.1567934202,660.0
364,Lower Pacific Heights,2013,1147.75,876372.4099051025,764.0
365,Lower Pacific Heights,2014,1164.0,1016640.0569027406,873.0
366,Lower Pacific Heights,2015,1173.0,1171696.5788891157,999.0
367,Lower Pacific Heights,2016,1180.0,1363263.913004709,1155.0
368,Marina,2007,1480.0,1342045.3475772091,907.0
369,Marina,2008,1490.25,1415865.479722501,950.0
370,Marina,2009,1495.0,1370940.8802286896,917.0
371,Marina,2010,1500.0,1235901.3883768,824.0
372,Marina,2011,1500.0,1227211.9954471486,818.0
373,Marina,2012,1500.0,1127559.1653333844,752.0
374,Marina,2013,1515.0,1312399.7144929103,866.0
375,Marina,2014,1523.0,1513853.6521146689,994.0
376,Marina,2015,1525.0,1803326.297870218,1183.0
377,Marina,2016,1545.0,2024842.0206151884,1311.0
378,Merced Heights,2007,1187.0,,682.6351351351351
379,Merced Heights,2008,1187.5,,693.1891891891892
380,Merced Heights,2009,1188.0,,631.6486486486486
381,Merced Heights,2010,1188.0,,559.0131578947369
382,Merced Heights,2011,1196.0,,544.9166666666666
383,Merced Heights,2012,1198.5,,517.9078947368421
384,Merced Heights,2013,1200.0,,587.5194805194806
385,Merced Heights,2014,1200.0,949120.931285135,791.0
386,Merced Heights,2015,1213.0,1057874.2104757174,872.0
387,Merced Heights,2016,1214.0,1074530.3832039223,885.0
388,Merced Manor,2007,2250.0,1108729.163134629,493.0
389,Merced Manor,2008,2250.0,1157388.3488235928,514.0
390,Merced Manor,2009,2250.0,1056300.998655592,469.0
391,Merced Manor,2010,2257.5,977976.4409868164,433.0
392,Merced Manor,2012,2272.5,883943.1283380411,389.0
393,Merced Manor,2013,2283.0,1018608.5549222576,446.0
394,Merced Manor,2014,2284.0,1152899.5073931254,505.0
395,Merced Manor,2015,2285.0,1291132.0593652984,565.0
396,Merced Manor,2016,2308.0,1424186.4776594692,617.0
397,Midtown Terrace,2007,1186.5,976721.185094296,823.0
398,Midtown Terrace,2008,1191.0,1007121.636659366,846.0
399,Midtown Terrace,2009,1200.0,899595.0062461238,750.0
400,Midtown Terrace,2010,1200.0,835203.0770991336,696.0
401,Midtown Terrace,2011,1203.5,846360.6164092389,703.0
402,Midtown Terrace,2012,1206.0,804627.9339279067,667.0
